Designator;Package;Quantity;Designation;Supplier and ref
C1;C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4;1;0.047uF;
C10,C15;C_Disc_D3.8mm_W2.6mm_P2.50mm;2;0.01uF/50V;
C11;C_Disc_D11.0mm_W5.0mm_P5.00mm;1;4700pF/1KV;
C13;C_Disc_D7.5mm_W5.0mm_P5.00mm;1;100pF/1KV;
C14;C_Disc_D12.5mm_W5.0mm_P7.50mm;1;4.7nF/Y2;
C16;C_Disc_D12.5mm_W5.0mm_P7.50mm;1;470pF/1KV;
C17,C18;CP_Radial_D10.0mm_P5.00mm;2;1000uF/25V;
C19;CP_Radial_D8.0mm_P5.00mm;1;220uF/25V;
C2,C3;C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3;2;0.33uF;
C5;CP_Radial_D6.3mm_P2.50mm;1;100uF/25V;
C7;C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2;1;4.7nF;
C8,C12;C_Disc_D5.1mm_W3.2mm_P5.00mm;2;470nF;
C9;CP_Radial_D16.0mm_P7.50mm;1;68uF/400V;
CONN1;PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal;1;100-240Vac;
CONN2;PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal;1;12Vdc/2A;
D1;Diode_Bridge_Vishay_GBU;1;GBU810GTB;
D2;D_DO-201_P15.24mm_Horizontal;1;1.5KE220A;
D3;D_DO-35_SOD27_P7.62mm_Horizontal;1;1N4148;
D4,D5;D_DO-41_SOD81_P10.16mm_Horizontal;2;STTH1R06;
D6;D_DO-201AD_P15.24mm_Horizontal;1;SB3200TA;
F1;Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open;1;3.15AT/250V;
H4,H3,H2,H1;MountingHole_2.7mm_Pad_Via;4;M2.5;
L1;L_CommonMode_Wuerth_WE-CMB-NC;1;2x35mH;
L2;L_Radial_D9.5mm_P5.00mm_Fastron_07HVP;1;2.2uH;
R1;R_Axial_DIN0614_L14.3mm_D5.7mm_P20.32mm_Horizontal;1;4ohm/3W;
R10;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;3.48K;
R11;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;13.3K;
R12;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;DNP;
R2;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;3.01K;
R3;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;3.32K;
R4;R_Axial_DIN0516_L15.5mm_D5.0mm_P25.40mm_Horizontal;1;22K/2W;
R5;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;15;
R6;R_Axial_DIN0516_L15.5mm_D5.0mm_P25.40mm_Horizontal;1;1.0K/2W;
R7;R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal;1;22R/0.5W;
R8;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;68.1;
R9;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;1K;
REF**;WEEE-Logo_4.2x6mm_SilkScreen;1;WEEE-Logo_4.2x6mm_SilkScreen;
REF**;OSHW-Logo_5.7x6mm_SilkScreen;1;OSHW-Logo_5.7x6mm_SilkScreen;
REF**;KiCad-Logo2_5mm_SilkScreen;1;KiCad-Logo2_5mm_SilkScreen;
REF**;ESD-Logo_6.6x6mm_SilkScreen;1;ESD-Logo_6.6x6mm_SilkScreen;
REF**,REF**;R_0805_2012Metric;2;R_0805_2012Metric;
T1;CVP_53-001;1;CVP_53-001;
U1;DIP-8_W7.62mm;1;VIPer53EDIP-E;
U2;DIP-4_W7.62mm;1;LTV-817;
U3;TO-92_Inline_Wide;1;TL431;
VAR1;RV_Disc_D15.5mm_W3.9mm_P7.5mm;1;275V;
