Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU Digi-Key,Packaging Digi-Key,Unit Price (@ Batch Size: 1) Digi-Key,In Stock Digi-Key,MOQ Digi-Key,URL Digi-Key
1,BFC233921473,Vishay,BFC233921473,https://octopart.com/bfc233921473-vishay-44640502,C1,,,1,BC3038-ND,Bulk,1.31522896,2340,1,https://octopart.com/click/track?ai=8237&sig=09d8f00&sid=459&ppid=44640502&vpid=236838836&ct=offers
1,C315C103K5R5TA7303,KEMET,C315C103K5R5TA7303,https://octopart.com/c315c103k5r5ta7303-kemet-1867824,C10,,,1,399-9858-1-ND,Cut Tape,0.22950304,58411,1,https://octopart.com/click/track?ai=8237&sig=0c259cd&sid=459&ppid=1867824&vpid=57989311&ct=offers
1,CK45-B3AD472KYGNA,TDK,CK45-B3AD472KYGNA,https://octopart.com/ck45-b3ad472kygna-tdk-25250261,C11,,,1,445-175345-ND,Bulk,0.40604384,1453,1,https://octopart.com/click/track?ai=8237&sig=02ae256&sid=459&ppid=25250261&vpid=460400801&ct=offers
1,K474Z20Y5VF5TH5,Vishay,K474Z20Y5VF5TH5,https://octopart.com/k474z20y5vf5th5-vishay-39475273,C12,,,1,BC1167CT-ND,Cut Tape,0.38838976,14540,1,https://octopart.com/click/track?ai=8237&sig=01aee9b&sid=459&ppid=39475273&vpid=1900405&ct=offers
1,F101K25Y5RN63K5R,Vishay,F101K25Y5RN63K5R,https://octopart.com/f101k25y5rn63k5r-vishay-44026490,C13,,,1,1235PH-ND,Bulk,0.24715712,69011,1,https://octopart.com/click/track?ai=8237&sig=0ead68a&sid=459&ppid=44026490&vpid=34306489&ct=offers
1,VY2472M49Y5US63V7,Vishay,VY2472M49Y5US63V7,https://octopart.com/vy2472m49y5us63v7-vishay-44035501,C14,,,1,BC2359-ND,Bulk,0.40604384,98852,1,https://octopart.com/click/track?ai=8237&sig=03078e3&sid=459&ppid=44035501&vpid=34313804&ct=offers
1,C315C103K5R5TA7303,KEMET,C315C103K5R5TA7303,https://octopart.com/c315c103k5r5ta7303-kemet-1867824,C15,,,1,399-9858-1-ND,Cut Tape,0.22950304,58411,1,https://octopart.com/click/track?ai=8237&sig=0c259cd&sid=459&ppid=1867824&vpid=57989311&ct=offers
1,CC45SL3AD471JYGNA,TDK,CC45SL3AD471JYGNA,https://octopart.com/cc45sl3ad471jygna-tdk-25088048,C16,,,1,445-175502-ND,Bulk,0.37073568,8804,1,https://octopart.com/click/track?ai=8237&sig=05aad03&sid=459&ppid=25088048&vpid=469673685&ct=offers
1,25ZLH1000MEFCT810X23,Rubycon,25ZLH1000MEFCT810X23,https://octopart.com/25zlh1000mefct810x23-rubycon-22850595,C17,,,1,1189-3730-1-ND,Cut Tape,0.6178928,14570,1,https://octopart.com/click/track?c=1&ai=8237&sig=0e7e69d&sid=459&ppid=22850595&vpid=409559671&ct=offers
1,25ZLH1000MEFCT810X23,Rubycon,25ZLH1000MEFCT810X23,https://octopart.com/25zlh1000mefct810x23-rubycon-22850595,C18,,,1,1189-3730-1-ND,Cut Tape,0.6178928,14570,1,https://octopart.com/click/track?c=1&ai=8237&sig=0e7e69d&sid=459&ppid=22850595&vpid=409559671&ct=offers
